Student_ID,CGPA,Aptitude_Score,Coding_Score,Communication_Score,Internship_Experience,Cluster_Label
218,7.23,66,81,61,0,Needs Communication Improvement
219,7.32,77,77,50,1,Needs Communication Improvement
220,8.08,76,50,83,1,Needs Coding Improvement
221,7.24,56,80,43,0,Needs Communication Improvement
222,5.81,70,53,61,0,Needs Additional Training
223,5.7,50,63,55,1,Needs Additional Training
224,8.27,72,43,67,0,Needs Coding Improvement
225,8.58,85,76,52,1,Needs Communication Improvement
226,7.92,66,69,47,0,Needs Communication Improvement
227,6.31,50,58,60,0,Needs Additional Training
228,7.6,61,50,75,0,Needs Coding Improvement
229,7.69,89,81,89,1,Placement Ready
230,8.4,74,85,83,0,Placement Ready
231,9.37,86,75,90,0,Placement Ready
232,8.01,67,62,83,0,Needs Coding Improvement
233,7.37,86,76,54,0,Needs Communication Improvement
234,6.92,61,53,53,1,Needs Additional Training
235,8.15,84,93,92,1,Placement Ready
236,6.33,75,69,59,0,Needs Additional Training
237,8.49,79,89,83,0,Placement Ready
238,6.22,59,67,53,0,Needs Additional Training
239,8.45,80,82,85,1,Placement Ready
240,6.06,50,49,47,0,Needs Additional Training
241,7.94,71,97,58,0,Needs Communication Improvement
242,7.28,73,75,64,1,Needs Communication Improvement
243,7.2,71,80,40,1,Needs Communication Improvement
244,7.57,66,36,69,0,Needs Coding Improvement
245,8.68,88,83,86,0,Placement Ready
246,6.51,69,51,39,1,Needs Additional Training
247,6.29,66,62,54,0,Needs Additional Training
248,6.83,63,51,58,0,Needs Additional Training
249,7.94,66,45,73,1,Needs Coding Improvement
250,8.04,75,52,69,1,Needs Coding Improvement
251,7.7,85,88,48,0,Needs Communication Improvement
252,8.35,91,72,80,1,Placement Ready
253,8.57,79,89,78,1,Placement Ready
254,7.36,61,52,50,1,Needs Additional Training
255,8.82,84,89,78,1,Placement Ready
256,8.88,88,79,83,1,Placement Ready
257,7.26,77,56,79,1,Needs Coding Improvement
258,7.07,74,81,57,0,Needs Communication Improvement
259,8.55,64,75,62,1,Needs Communication Improvement
260,8.5,88,87,91,1,Placement Ready
261,8.47,80,80,81,1,Placement Ready
262,7.29,46,47,72,0,Needs Additional Training
263,6.8,35,53,69,0,Needs Additional Training
264,7.76,84,76,35,0,Needs Communication Improvement
265,6.31,53,62,50,1,Needs Additional Training
266,7.28,68,50,76,1,Needs Coding Improvement
267,6.16,58,57,58,1,Needs Additional Training
268,8.41,81,81,79,1,Placement Ready
269,7.3,83,42,69,1,Needs Coding Improvement
270,7.22,59,42,66,0,Needs Additional Training
271,7.73,73,55,81,1,Needs Coding Improvement
272,8.76,87,90,80,0,Placement Ready
273,8.63,78,74,87,1,Placement Ready
274,7.74,71,67,51,0,Needs Communication Improvement
275,6.05,48,45,50,0,Needs Additional Training
276,7.31,41,59,61,0,Needs Additional Training
277,7.91,55,56,42,0,Needs Additional Training
278,7.51,65,49,64,1,Needs Coding Improvement
279,8.78,84,86,83,1,Placement Ready
280,7.97,82,75,86,1,Placement Ready
281,7.84,79,77,47,0,Needs Communication Improvement
282,8.03,87,79,79,1,Placement Ready
283,6.04,65,55,42,1,Needs Additional Training
284,8.98,86,76,81,1,Placement Ready
285,8.03,70,78,47,1,Needs Communication Improvement
286,6.78,51,56,63,1,Needs Additional Training
287,7.63,53,53,43,0,Needs Additional Training
288,7.07,49,62,46,0,Needs Additional Training
289,6.83,56,44,59,0,Needs Additional Training
290,6.86,69,65,60,0,Needs Additional Training
291,9.06,81,75,67,0,Needs Communication Improvement
292,8.22,87,83,85,0,Placement Ready
293,8.84,88,81,88,0,Placement Ready
294,8.56,81,89,83,1,Placement Ready
295,8.63,78,88,78,1,Placement Ready
296,8.16,74,86,48,0,Needs Communication Improvement
297,7.7,79,52,79,0,Needs Coding Improvement
298,7.97,84,78,86,0,Placement Ready
299,7.64,74,86,51,1,Needs Communication Improvement
300,6.33,44,40,63,1,Needs Additional Training
301,6.63,51,56,60,0,Needs Additional Training
302,7.89,82,73,85,1,Placement Ready
303,8.51,83,87,80,1,Placement Ready
304,8.35,90,80,83,1,Placement Ready
305,6.57,51,48,59,0,Needs Additional Training
306,7.77,68,49,78,0,Needs Coding Improvement
307,8.04,70,50,67,0,Needs Coding Improvement
308,7.91,73,46,68,0,Needs Coding Improvement
309,6.95,67,67,58,0,Needs Additional Training
310,8.84,80,81,87,1,Placement Ready
311,8.52,87,79,79,0,Placement Ready
312,7.67,81,87,85,1,Placement Ready
313,7.51,78,76,61,1,Needs Communication Improvement
314,7.92,68,39,79,0,Needs Coding Improvement
315,8.41,79,73,85,1,Placement Ready
316,7.95,72,73,51,1,Needs Communication Improvement
317,7.36,67,50,77,0,Needs Coding Improvement
318,6.2,51,67,63,0,Needs Additional Training
319,6.77,62,62,49,1,Needs Additional Training
320,7.2,81,92,86,1,Placement Ready
321,8.92,76,81,85,0,Placement Ready
322,8.12,86,84,76,0,Placement Ready
323,7.66,64,50,74,0,Needs Coding Improvement
324,7.4,80,55,59,0,Needs Coding Improvement
325,7.83,70,65,43,0,Needs Communication Improvement
326,8.0,71,59,77,0,Needs Coding Improvement
327,7.79,77,65,57,1,Needs Communication Improvement
328,8.26,64,58,70,0,Needs Coding Improvement
329,8.39,78,80,79,1,Placement Ready
330,8.46,82,83,79,1,Placement Ready
331,6.63,58,55,61,1,Needs Additional Training
332,6.18,49,58,54,0,Needs Additional Training
333,8.81,75,82,54,1,Needs Communication Improvement
334,8.21,83,88,75,1,Placement Ready
335,6.82,46,41,58,0,Needs Additional Training
336,8.09,80,85,80,0,Placement Ready
337,7.66,66,82,58,1,Needs Communication Improvement
338,7.04,68,56,66,0,Needs Coding Improvement
339,8.47,66,77,54,1,Needs Communication Improvement
340,8.43,80,47,78,0,Needs Coding Improvement
341,8.59,91,73,76,1,Placement Ready
342,7.04,41,46,54,0,Needs Additional Training
343,7.24,68,39,73,1,Needs Coding Improvement
344,7.88,73,47,85,0,Needs Coding Improvement
345,7.48,63,73,50,1,Needs Communication Improvement
346,7.68,77,73,63,0,Needs Communication Improvement
347,8.21,80,75,80,1,Placement Ready
348,7.67,85,84,78,0,Placement Ready
349,6.6,58,49,58,0,Needs Additional Training
350,7.08,67,45,83,0,Needs Coding Improvement
351,6.99,78,69,51,1,Needs Communication Improvement
352,8.74,83,90,86,1,Placement Ready
353,8.62,90,95,94,1,Placement Ready
354,6.6,67,60,51,1,Needs Additional Training
355,4.62,55,63,61,0,Needs Additional Training
356,7.47,79,50,74,0,Needs Coding Improvement
357,8.61,86,80,57,0,Needs Communication Improvement
358,8.89,84,83,87,1,Placement Ready
359,9.23,83,82,80,1,Placement Ready
360,8.68,74,51,82,0,Needs Coding Improvement
361,8.74,81,94,88,1,Placement Ready
362,8.33,84,76,87,1,Placement Ready
363,7.58,68,81,44,0,Needs Communication Improvement
364,7.87,69,52,73,1,Needs Coding Improvement
365,7.11,47,46,71,0,Needs Additional Training
366,5.75,74,42,51,0,Needs Additional Training
367,8.71,79,84,86,1,Placement Ready
368,7.37,70,77,55,1,Needs Communication Improvement
369,6.97,77,42,78,1,Needs Coding Improvement
370,6.41,61,54,47,1,Needs Additional Training
371,8.53,89,82,85,1,Placement Ready
372,8.16,79,70,88,1,Placement Ready
373,7.7,76,74,52,0,Needs Communication Improvement
374,8.09,63,88,51,0,Needs Communication Improvement
375,7.61,66,48,61,1,Needs Coding Improvement
376,5.59,54,51,51,1,Needs Additional Training
377,6.24,62,56,53,0,Needs Additional Training
378,7.62,75,84,57,1,Needs Communication Improvement
379,6.65,63,62,53,0,Needs Additional Training
380,8.52,82,83,83,1,Placement Ready
381,7.38,72,47,70,1,Needs Coding Improvement
382,7.24,78,87,57,1,Needs Communication Improvement
383,8.41,80,81,89,1,Placement Ready
384,8.44,90,83,85,1,Placement Ready
385,8.31,59,82,56,0,Needs Communication Improvement
386,8.26,81,80,75,0,Placement Ready
387,5.26,55,40,58,0,Needs Additional Training
388,7.83,63,45,68,0,Needs Coding Improvement
389,7.49,78,78,53,1,Needs Communication Improvement
390,6.89,66,54,65,0,Needs Additional Training
391,8.35,81,81,41,1,Needs Communication Improvement
392,8.49,80,99,86,1,Placement Ready
393,4.96,55,56,53,0,Needs Additional Training
394,7.91,80,85,56,0,Needs Communication Improvement
395,8.17,73,78,51,0,Needs Communication Improvement
396,8.52,80,75,80,1,Placement Ready
397,8.01,76,67,38,0,Needs Communication Improvement
398,8.18,66,44,69,1,Needs Coding Improvement
399,7.26,74,57,56,0,Needs Additional Training
400,6.92,67,52,79,1,Needs Coding Improvement
401,7.84,80,75,55,1,Needs Communication Improvement
402,7.13,59,51,46,0,Needs Additional Training
403,8.76,85,80,86,1,Placement Ready
404,8.68,70,80,56,0,Needs Communication Improvement
405,7.91,70,65,48,1,Needs Communication Improvement
406,9.01,89,92,77,1,Placement Ready
407,6.81,77,58,67,1,Needs Coding Improvement
408,7.73,80,75,39,0,Needs Communication Improvement
409,8.32,85,77,83,1,Placement Ready
410,8.18,62,56,79,1,Needs Coding Improvement
411,7.66,87,80,51,1,Needs Communication Improvement
412,8.48,86,75,89,1,Placement Ready
413,7.0,71,51,75,1,Needs Coding Improvement
414,7.54,74,49,65,1,Needs Coding Improvement
415,7.31,62,59,74,0,Needs Coding Improvement
416,5.76,63,62,70,0,Needs Additional Training
417,6.68,62,42,59,0,Needs Additional Training
418,7.44,48,51,61,0,Needs Additional Training
419,8.06,70,87,49,0,Needs Communication Improvement
420,8.34,65,43,67,1,Needs Coding Improvement
421,9.37,87,83,85,1,Placement Ready
422,7.87,69,73,47,1,Needs Communication Improvement
423,8.24,84,75,89,1,Placement Ready
424,7.21,71,52,71,1,Needs Coding Improvement
425,7.94,81,91,86,1,Placement Ready
426,6.49,48,45,52,1,Needs Additional Training
427,8.3,65,48,78,1,Needs Coding Improvement
428,5.93,75,49,60,0,Needs Additional Training
429,8.21,88,79,55,1,Needs Communication Improvement
430,9.59,89,85,79,1,Placement Ready
431,7.28,65,45,79,1,Needs Coding Improvement
432,7.51,50,55,53,1,Needs Additional Training
433,9.02,77,85,57,1,Needs Communication Improvement
434,7.12,84,47,74,0,Needs Coding Improvement
435,7.81,77,47,72,0,Needs Coding Improvement
436,6.32,65,48,56,0,Needs Additional Training
437,6.39,47,54,53,1,Needs Additional Training
438,8.73,86,83,93,1,Placement Ready
439,8.09,63,38,72,1,Needs Coding Improvement
440,8.58,75,70,85,1,Placement Ready
441,8.87,78,82,82,1,Placement Ready
442,8.4,89,83,76,1,Placement Ready
443,8.33,78,81,63,0,Needs Communication Improvement
444,7.05,63,62,53,0,Needs Additional Training
445,7.74,76,79,53,0,Needs Communication Improvement
446,8.68,82,80,86,0,Placement Ready
447,7.24,79,86,53,0,Needs Communication Improvement
448,8.4,87,80,80,1,Placement Ready
449,7.87,69,53,72,0,Needs Coding Improvement
450,8.83,89,70,86,1,Placement Ready
451,6.5,68,79,57,0,Needs Communication Improvement
452,7.64,70,56,79,0,Needs Coding Improvement
453,7.81,76,76,59,0,Needs Communication Improvement
454,6.73,62,42,76,0,Needs Coding Improvement
455,8.18,85,80,90,0,Placement Ready
456,8.49,85,85,81,1,Placement Ready
457,5.69,56,37,51,1,Needs Additional Training
458,8.03,78,58,84,1,Needs Coding Improvement
459,8.69,78,83,51,0,Needs Communication Improvement
460,7.23,56,50,57,0,Needs Additional Training
461,8.91,86,83,74,1,Placement Ready
462,7.85,82,54,81,0,Needs Coding Improvement
463,7.0,77,61,84,1,Needs Coding Improvement
464,8.63,81,80,81,1,Placement Ready
465,8.65,82,82,79,1,Placement Ready
466,8.65,87,75,77,1,Placement Ready
467,8.89,77,84,85,1,Placement Ready
468,6.02,51,64,72,0,Needs Additional Training
469,8.3,79,90,81,1,Placement Ready
470,6.82,56,58,59,1,Needs Additional Training
471,7.04,73,62,80,1,Needs Coding Improvement
472,6.7,70,69,32,0,Needs Communication Improvement
473,7.84,70,45,68,1,Needs Coding Improvement
474,7.11,79,68,46,1,Needs Communication Improvement
475,7.29,47,66,65,0,Needs Additional Training
476,6.26,44,52,66,0,Needs Additional Training
477,8.75,84,92,83,1,Placement Ready
478,8.76,84,87,87,0,Placement Ready
479,8.8,87,79,85,1,Placement Ready
480,7.16,67,45,50,1,Needs Additional Training
481,7.04,71,51,78,0,Needs Coding Improvement
482,6.93,76,63,73,0,Needs Coding Improvement
483,6.88,66,47,65,0,Needs Additional Training
484,7.73,83,83,47,0,Needs Communication Improvement
485,8.41,93,77,85,1,Placement Ready
486,6.1,64,45,67,0,Needs Additional Training
487,9.51,82,88,83,0,Placement Ready
488,7.61,59,51,77,0,Needs Coding Improvement
489,6.82,51,57,57,0,Needs Additional Training
490,8.8,86,92,81,1,Placement Ready
491,6.96,59,58,45,0,Needs Additional Training
492,8.31,84,83,91,1,Placement Ready
493,8.68,83,83,59,1,Needs Communication Improvement
494,7.12,76,85,48,1,Needs Communication Improvement
495,8.93,87,70,82,1,Placement Ready
496,9.02,87,90,89,1,Placement Ready
497,7.83,85,78,82,1,Placement Ready
498,7.08,64,77,67,0,Needs Communication Improvement
499,7.71,68,71,52,1,Needs Communication Improvement
500,7.48,81,85,55,1,Needs Communication Improvement
501,7.21,72,55,77,1,Needs Coding Improvement
502,8.18,72,65,45,0,Needs Communication Improvement
503,8.62,89,89,80,0,Placement Ready
504,6.21,60,61,53,0,Needs Additional Training
505,8.63,73,82,83,1,Placement Ready
506,8.95,94,73,91,0,Placement Ready
507,7.62,78,71,62,0,Needs Communication Improvement
508,8.3,77,78,67,1,Needs Communication Improvement
509,7.11,84,40,72,0,Needs Coding Improvement
510,8.16,65,67,56,1,Needs Communication Improvement
511,9.08,88,86,83,0,Placement Ready
512,8.12,71,77,51,1,Needs Communication Improvement
513,7.72,78,51,78,1,Needs Coding Improvement
514,6.24,69,52,53,0,Needs Additional Training
515,6.57,49,59,65,0,Needs Additional Training
516,7.79,75,80,52,0,Needs Communication Improvement
517,8.27,75,50,61,1,Needs Coding Improvement
518,7.21,87,75,55,0,Needs Communication Improvement
519,7.99,78,47,69,0,Needs Coding Improvement
520,7.91,72,70,53,1,Needs Communication Improvement
521,7.48,79,54,75,0,Needs Coding Improvement
522,7.42,67,70,64,0,Needs Communication Improvement
523,6.4,52,46,61,0,Needs Additional Training
524,6.69,58,70,63,0,Needs Additional Training
525,7.99,79,78,63,1,Needs Communication Improvement
526,8.49,80,77,89,1,Placement Ready
527,7.03,72,57,76,1,Needs Coding Improvement
528,8.22,77,84,84,1,Placement Ready
529,8.1,72,54,76,0,Needs Coding Improvement
530,8.57,90,78,76,1,Placement Ready
531,7.45,76,50,79,1,Needs Coding Improvement
532,8.98,87,90,77,0,Placement Ready
533,7.42,74,36,64,0,Needs Coding Improvement
534,7.82,70,78,51,0,Needs Communication Improvement
535,8.11,88,77,53,0,Needs Communication Improvement
536,7.71,69,72,52,1,Needs Communication Improvement
537,7.28,76,56,74,1,Needs Coding Improvement
538,6.68,67,58,55,0,Needs Additional Training
539,7.4,64,80,48,0,Needs Communication Improvement
540,7.97,61,81,45,1,Needs Communication Improvement
541,8.34,87,79,93,1,Placement Ready
542,7.66,78,46,71,0,Needs Coding Improvement
543,6.36,62,60,55,0,Needs Additional Training
544,6.1,42,61,53,0,Needs Additional Training
545,7.5,71,30,84,1,Needs Coding Improvement
546,8.05,72,61,76,0,Needs Coding Improvement
547,8.21,74,76,63,0,Needs Communication Improvement
548,6.95,51,57,67,0,Needs Additional Training
549,7.44,80,54,76,0,Needs Coding Improvement
550,8.48,83,89,83,1,Placement Ready
551,7.17,60,54,60,0,Needs Additional Training
552,7.72,79,70,45,1,Needs Communication Improvement
553,6.07,69,72,58,1,Needs Additional Training
554,7.29,81,52,87,0,Needs Coding Improvement
555,6.79,80,85,70,1,Needs Communication Improvement
556,8.38,87,82,79,1,Placement Ready
557,6.46,69,51,64,0,Needs Additional Training
558,8.29,82,74,83,1,Placement Ready
559,8.23,88,79,81,1,Placement Ready
560,6.65,60,58,58,0,Needs Additional Training
561,8.27,85,72,83,1,Placement Ready
562,7.21,72,74,44,0,Needs Communication Improvement
563,8.01,77,85,59,0,Needs Communication Improvement
564,7.42,87,70,55,0,Needs Communication Improvement
565,8.04,74,88,52,0,Needs Communication Improvement
566,7.05,86,85,57,1,Needs Communication Improvement
567,8.16,87,59,77,1,Needs Coding Improvement
568,8.51,76,80,83,1,Placement Ready
569,7.78,74,60,77,1,Needs Coding Improvement
570,8.55,85,84,88,1,Placement Ready
571,7.66,82,71,83,1,Placement Ready
572,8.0,74,85,50,0,Needs Communication Improvement
573,7.91,70,83,44,0,Needs Communication Improvement
574,7.63,71,49,78,0,Needs Coding Improvement
575,8.65,89,84,88,1,Placement Ready
576,8.36,81,89,84,1,Placement Ready
577,7.69,61,59,71,0,Needs Coding Improvement
578,6.71,50,50,61,0,Needs Additional Training
579,7.65,78,41,83,1,Needs Coding Improvement
580,8.63,76,85,83,0,Placement Ready
581,7.69,82,81,51,1,Needs Communication Improvement
582,8.78,91,76,84,1,Placement Ready
583,6.68,45,61,67,0,Needs Additional Training
584,7.32,65,67,75,0,Needs Coding Improvement
585,8.57,91,78,84,1,Placement Ready
586,8.19,88,82,85,1,Placement Ready
587,8.3,82,75,75,1,Placement Ready
588,7.1,70,81,68,0,Needs Communication Improvement
589,7.22,71,87,44,0,Needs Communication Improvement
590,6.52,55,49,57,0,Needs Additional Training
591,7.87,85,75,83,1,Placement Ready
592,5.76,55,63,59,0,Needs Additional Training
593,6.34,71,59,60,0,Needs Additional Training
594,7.44,70,59,70,1,Needs Coding Improvement
